Altium Designer Pick and Place Locations
C:\Users\Lorenzo\Documents\Progetti\BugBuster\PCB Material\BubBuster_DAQ\BugBuster_DAQ\Project Outputs for BugBuster_DAQ\Pick Place for BugBuster_DAQ.csv

========================================================================================================================
File Design Information:

Date:       18/06/26
Time:       14:41
Revision:   0c85ad8b548e125d8ad99cb8c49d076cb01b8ec1
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R51","100 kOhms","TopLayer","RES_0603_1608","1320.866","1271.653","0","RES SMD 100K OHM 1% 1/3W 0603"
"UP","430473035826","BottomLayer","430473035826","1377.953","1377.953","270","Switch Tactile Spst-no 0.05A 12V"
"R46","10 kOhms","TopLayer","RES_0603_1608","651.575","984.252","0","RES SMD 10K OHM 1% 1/3W 0603"
"R44","10 kOhms","TopLayer","RES_0603_1608","1320.866","1397.638","0","RES SMD 10K OHM 1% 1/3W 0603"
"R43","10 kOhms","TopLayer","RES_0603_1608","1320.866","1476.378","0","RES SMD 10K OHM 1% 1/3W 0603"
"OK","430473035826","BottomLayer","430473035826","2992.126","1102.362","270","Switch Tactile Spst-no 0.05A 12V"
"DOWN","430473035826","BottomLayer","430473035826","1377.953","787.402","270","Switch Tactile Spst-no 0.05A 12V"
"R42","1 kOhms","TopLayer","RES_0603_1608","3228.346","1978.346","90","RES SMD 1K OHM 1% 1/3W 0603"
"IC1","Taken From Chinese PCB","TopLayer","DIODES_SOT-23-3","3120.079","1986.220","180","IC REG LINEAR LED DRIVER 60mA"
"C81","0.1 µF","TopLayer","CAP_0603_1608","3110.236","1889.764","180","SMT Capacitor"
"C80","1 µF","TopLayer","CAP_0603_1608","2972.441","2027.559","270","SMT Capacitor"
"C79","0.1 µF","TopLayer","CAP_0603_1608","3021.653","2027.559","270","SMT Capacitor"
