Line #,Name,Description,Designator,Revision ID,Revision State,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","AD7415ARTZ-0500RL7","+/-0.5 degrees C Accurate, 10-Bit Digital Temperature Sensor, 2.7 to 5.5 V Supply, Industrial, 5-pin SOT23 (RJ-5), Reel","U2, U28","","Not managed","","2","","","","","","",""
"","52745-0897","0.5 mm Pitch Easy-On(TM) Type FPC Connector, 2.0 mm Mated Height, Right Angle, ZIF, SMT, Top Contact, 8 Circuits, -20 to 85 degC, ELV and RoHS Compliant, Tape and Reel","J4","","Not managed","","1","","","","","","",""
"","ADG6412BCPZ-REEL7","0.5 mR RON, ±20 V, +36 V, Quad SPST Switch","U9, U13","","Not managed","","2","","","","","","",""
"","TPS74601PDRVT","1-A, low-IQ, high-accuracy, adjustable ultra-low-dropout voltage regulator with power good & enable","U3","","Not managed","","1","","","","","","",""
"","AD8411AWBRMZ","2 V to 70 V Wide Input Voltage Range, 2.7 MHz High Bandwidth, Current-Sense Amplifier with PWM Rejection and Gain 50 V/V","U10, U14, U16","","Not managed","","3","","","","","","",""
"","PRO-OB-440","2.4GHz Bluetooth, WirelessHART, WLAN, Zigbeeâ„¢ Stamped Metal RF Antenna 2.4GHz ~ 2.5GHz - Solder Surface Mount","E1","","Not managed","","1","","","","","","",""
"","XL-2020RGBC-WS2812B","2020 RGB LED(BUILT-IN IC)","D4, D5, D6, D7, D8, D9, D10, D11","","Not managed","","8","","","","","","",""
"","22µF","CAP 2220 X7R 50V 22UF 20% 2.50MM","C65, C66, C67, C69, C70","","Not managed","","5","TDK","CGA9P3X7R1H226M250KB","Volume Production","DigiKey","445-181650-1-ND","10.45","52.25"
"","0.047µF","CAP CER 0.047UF 25V X7R 0603","C13, C18","","Not managed","","2","Yageo Group","C0603C473K3RACAUTO","Volume Production","DigiKey","399-6899-1-ND","0.14","0.28"
"","4.7 µF","CAP CER 4.7UF 35V X7R 0805","C73","","Not managed","","1","Murata","GRM21BZ7YA475KE15K","Volume Production","DigiKey","490-GRM21BZ7YA475KE15KCT-ND","",""
"","4.7 µF","CAP CER 4.7UF 50V X7R 0805","C15, C16, C19, C20","","Not managed","","4","TDK","CGA4J1X7R1H475K125AC","Volume Production","DigiKey","445-181404-1-ND","0.56","2.24"
"","10 µF","CAP CER 10UF 50V X7R 1210","C68","","Not managed","","1","Walsin Technologies","1210B106K500CT","Volume Production","DigiKey","1292-1210B106K500CT-ND","",""
