Altium Designer Pick and Place Locations
C:\Users\Lorenzo\Documents\Progetti\BugBuster\PCB Material\BugBuster_HAT\Project Outputs for BugBuster_HAT\Pick Place for BugBuster_HAT.csv

========================================================================================================================
File Design Information:

Date:       09/06/26
Time:       17:49
Revision:   0479cffdfc6e7b750eef59a9722bd9d4427b0afa
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R36","1 kOhms","TopLayer","RES_0603_1608","1049.213","232.284","180","RES SMD 1K OHM 1% 1/10W 0603"
"U9","SN74LVC8T245PWR","TopLayer","FP-PW0024A-MFG","2897.638","685.039","270","IC TRNSLTR BIDIRECTIONAL 24TSSOP"
"D9","XL-2020RGBC-WS2812B","TopLayer","LED_XL-2020RGBC-WS2812B","3248.032","3070.866","0","2020 RGB LED(BUILT-IN IC)"
"J5","PR20204VBDN","TopLayer","FP-PR20204VBDN-MFG","237.008","2676.378","180","PIN HEADER, THR, DUAL ROW, .100""
"J3","PR20204VBDN","TopLayer","FP-PR20204VBDN-MFG","3622.835","1574.016","180","PIN HEADER, THR, DUAL ROW, .100""
"J2","PR20204VBDN","TopLayer","FP-PR20204VBDN-MFG","237.008","433.858","180","PIN HEADER, THR, DUAL ROW, .100""
"Y1","ABM8-12.000MHZ-20-B1U-T","TopLayer","FP-ABM8-MFG","1279.528","2076.772","180","Crystal 12MHz ±10ppm 20pF SMD-4 3.2mm x 2.5mm"
"U8","TXS0108W-Q1","TopLayer","FP-PW0020A-IPC_C","3149.606","1574.803","0","IC TRNSLTR BIDIRECTIONAL 20TSSOP"
"U7","RP2040","TopLayer","QFN40P700X700X90-57N","1200.787","1781.496","180","RP2040 chip for Raspberry Pi Pico - ARM® Cortex®-M0+ MCU 32-Bit"
"U6","W25Q16JVSNIQ TR","TopLayer","FP-W25Q16JVSNIQ_TR-IPC_A","1263.147","1305.315","180","IC FLASH 16MBIT SPI/QUAD 8SOIC"
"U5","TPS74601PDRVT","TopLayer","SON65P200X200X80-7N","639.764","1112.205","180","1-A, low-IQ, high-accuracy, adjustable ultra-low-dropout voltage regulator with power good & enable"
"U4","DS4424+","TopLayer","21-0137_T1433+2_MXM","1230.260","659.449","0","Two-/Four-Channel, IÂ²C, 7-Bit Sink/Source Current DAC"
"U3","TPS74601PDRVT","TopLayer","SON65P200X200X80-7N","639.764","787.402","180","1-A, low-IQ, high-accuracy, adjustable ultra-low-dropout voltage regulator with power good & enable"
