Altium Designer Pick and Place Locations
C:\Users\Lorenzo\Documents\Progetti\BugBuster\PCB Material\Main PCB\Project Outputs for BugBuster\Pick Place for BugBusterMain.csv

========================================================================================================================
File Design Information:

Date:       09/06/26
Time:       17:49
Revision:   da98f3cbfb94ec55bc2dc689cd6e4ea20adeb74f
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R112","100 kOhms","TopLayer","RES_0603_1608","3017.716","1732.284","0","RES 100K OHM 1% 1/3W 0603"
"R111","100 kOhms","TopLayer","RES_0603_1608","3120.079","1732.284","180","RES 100K OHM 1% 1/3W 0603"
"U23","ADGS2414DBCCZ","TopLayer","CC-30-3_ADI","2614.173","531.496","270","0.56Omh On Resistance High Density Octal SPST Switch"
"R110","100 kOhms","TopLayer","RES_0603_1608","2653.543","334.646","90","RES 100K OHM 1% 1/3W 0603"
"R109","100 kOhms","TopLayer","RES_0603_1608","2594.488","334.646","90","RES 100K OHM 1% 1/3W 0603"
"R108","34.8 kOhms","TopLayer","RES_0603_1608","2712.598","334.646","270","RES SMD 34.8K OHM 1% 1/10W 0603"
"R107","34.8 kOhms","TopLayer","RES_0603_1608","2535.433","334.646","270","RES SMD 34.8K OHM 1% 1/10W 0603"
"R106","1 MOhms","TopLayer","RES_0603_1608","2814.961","334.646","270","RES SMD 1M OHM 1% 1/10W 0603"
"R105","6.98 kOhms","TopLayer","RES_0603_1608","2293.526","2967.083","270","RES SMD 6.98K OHM 1% 1/10W 0603"
"R104","=Value","TopLayer","RES_0603_1608","2356.518","2967.082","90","RES 0 OHM JUMPER 1/8W 0603"
"R103","100 kOhms","TopLayer","RES_0603_1608","2181.102","2937.008","180","RES 100K OHM 1% 1/3W 0603"
"BOOT","430473035826","TopLayer","430473035826","708.661","472.441","0","Switch Tactile Spst-no 0.05A 12V"
"R102","107 Ohms","TopLayer","RES_0603_1608","1870.079","248.031","0","RES SMD 107 OHM 1% 1/10W 0603"
"R101","107 Ohms","TopLayer","RES_0603_1608","2204.724","248.031","0","RES SMD 107 OHM 1% 1/10W 0603"
"R100","107 Ohms","TopLayer","RES_0603_1608","2035.433","248.031","0","RES SMD 107 OHM 1% 1/10W 0603"
"R99","133 Ohms","TopLayer","RES_0603_1608","1870.079","82.677","0","RES SMD 133 OHM 1% 1/10W 0603"
"R98","133 Ohms","TopLayer","RES_0603_1608","2208.661","82.677","0","RES SMD 133 OHM 1% 1/10W 0603"
"R97","133 Ohms","TopLayer","RES_0603_1608","2035.433","82.677","0","RES SMD 133 OHM 1% 1/10W 0603"
"D12","HSMF-C165","TopLayer","FP-HSMF-C165-MFG","1870.066","165.352","180","LED GREEN/RED DIFFUSED 0603 SMD"
"D9","HSMF-C165","TopLayer","FP-HSMF-C165-MFG","2204.711","165.352","180","LED GREEN/RED DIFFUSED 0603 SMD"
"D8","HSMF-C165","TopLayer","FP-HSMF-C165-MFG","2035.420","165.352","180","LED GREEN/RED DIFFUSED 0603 SMD"
"U21","ADR4525BRZ","TopLayer","ADI-R-8_N","1803.150","2531.496","270","Ultralow Noise, High Accuracy Voltage Reference, 2.5 V Output, 3 to 15 V Supply, Industrial, 8-pin SOIC (R-8), Tube"
"C80","1 µF","TopLayer","CAP_0603_1608","1753.937","2344.491","0","CAP CER 1UF 50V X5R 0603"
"C79","1 µF","TopLayer","CAP_0603_1608","1753.937","2285.433","0","CAP CER 1UF 50V X5R 0603"
"C78","0.1 µF","TopLayer","CAP_0603_1608","1773.622","2728.346","0","CAP CER 0.1UF 50V X7R 0603"
"C77","1 µF","TopLayer","CAP_0603_1608","1773.622","2797.244","0","CAP CER 1UF 50V X5R 0603"
"C3","22 µF","TopLayer","CAP_0603_1608","88.583","1092.520","0","CAP CER 22UF 6.3V X6S 0603"
"R60","2 kOhms","TopLayer","RES_0603_1608","1803.150","706.693","180","RES SMD 2K OHM 1% 1/10W 0603"
"D11","NSR0240V2T5G","TopLayer","FP-502-MFG","2135.827","669.291","180","NSR0240V2T5G Diode Schottky 40V 0.25A 2-Pin SOD-523 T/R"
"R24","=Value","TopLayer","RES_0603_1608","1460.630","2659.449","0","RES 0 OHM JUMPER 1/8W 0603"
"U5","TPS74601PDRVT","TopLayer","SON65P200X200X80-7N","2196.450","2862.914","180","1-A, low-IQ, high-accuracy, adjustable ultra-low-dropout voltage regulator with power good & enable"
"Y1","ABM11W-24.0000MHZ-8-B1U-T3","TopLayer","FP-ABM11W-MFG","787.402","1070.866","0","Crystal 24MHz ±10ppm 8pF SMD-4 2mm x 1.6mm"
"U22","HUSB238","TopLayer","DFN10","580.709","2194.882","270",""
"U20","PCA9535AHF,128","TopLayer","FP-SOT994-1-MFG","2893.701","1574.803","180","IC I/O EXPANDER I2C 24HWQFN"
"U19","TPS16410DRCR","TopLayer","DRC0010J-IPC_A","3700.788","984.252","0","2.7-V to 40-V, 152-mOmh, 1.8-A eFuse with output power limiting 10-VSON -40 to 125"
"U18","TPS16410DRCR","TopLayer","DRC0010J-IPC_A","3700.788","383.858","0","2.7-V to 40-V, 152-mOmh, 1.8-A eFuse with output power limiting 10-VSON -40 to 125"
"U17","ADGS2414DBCCZ","TopLayer","CC-30-3_ADI","3228.347","1253.281","0","0.56Omh On Resistance High Density Octal SPST Switch"
"U16","ADGS2414DBCCZ","TopLayer","CC-30-3_ADI","3228.347","561.024","0","0.56Omh On Resistance High Density Octal SPST Switch"
"U15","TXS0108EPWR","TopLayer","FP-PW0020A-IPC_C","2893.701","905.512","0","IC TRNSLTR BIDIRECTIONAL 20TSSOP"
"U14","TPS16410DRCR","TopLayer","DRC0010J-IPC_A","3700.788","1811.024","0","2.7-V to 40-V, 152-mOmh, 1.8-A eFuse with output power limiting 10-VSON -40 to 125"
"U13","TXS0108EPWR","TopLayer","FP-PW0020A-IPC_C","2903.544","2214.567","0","IC TRNSLTR BIDIRECTIONAL 20TSSOP"
"U12","TPS16410DRCR","TopLayer","DRC0010J-IPC_A","3700.788","2312.992","0","2.7-V to 40-V, 152-mOmh, 1.8-A eFuse with output power limiting 10-VSON -40 to 125"
"U11","ADGS2414DBCCZ","TopLayer","CC-30-3_ADI","3228.347","1896.325","0","0.56Omh On Resistance High Density Octal SPST Switch"
"U10","ADGS2414DBCCZ","TopLayer","CC-30-3_ADI","3228.347","2539.370","0","0.56Omh On Resistance High Density Octal SPST Switch"
"U9","AD74416HBCPZ","TopLayer","CP-64-15_ADI","2047.244","1230.315","270","Quad-Channel, Software Configurable Input and Output with HART Modem"
"U8","DS4424+","TopLayer","21-0137_T1433+2_MXM","728.346","2509.843","90","Two-/Four-Channel, IÂ²C, 7-Bit Sink/Source Current DAC"
"U7","LTM8049IY","TopLayer","FP-BGA-77-05-08-1964-MFG","1259.842","1771.653","90","DC DC CONVERTER +/-2.5 TO +/-24V"
"U6","LTM8063EY#PBF","TopLayer","FP-BGA-28-05-08-1517-MFG","1053.150","2765.748","0","DC DC CONVERTER 0.8-15V"
"U4","LTM8063EY#PBF","TopLayer","FP-BGA-28-05-08-1517-MFG","1401.575","2895.669","180","DC DC CONVERTER 0.8-15V"
"U3","LTM8078EY#PBF","TopLayer","FP-BGA-49-05-08-1518-IPC_C","1210.630","2352.362","0","DUAL 40VIN, 3A SILENT SWITCR UMO"
"U2","USB2422T/MJ","TopLayer","FP-24-S4QFN-4x4B-0_5P-IPC_C","767.716","866.142","0","IC HUB CTLR USB 2.0 24QFN"
"U1","ESP32-S3-WROOM-1-N8R2","TopLayer","XCVR_ESP32-S3-WROOM-1-N8R2","418.110","1574.803","90","WiFi 802.11a/b/g/n, Bluetooth v5.0 Transceiver Module 2.4GHz Antenna Not Included -"
"RST","430473035826","TopLayer","430473035826","708.661","196.850","0","Switch Tactile Spst-no 0.05A 12V"
"R96","100 kOhms","TopLayer","RES_0603_1608","1387.795","2027.559","90","RES 100K OHM 1% 1/3W 0603"
"R95","=Value","TopLayer","RES_0603_1608","3011.811","1437.008","180","RES 0 OHM JUMPER 1/8W 0603"
"R94","=Value","TopLayer","RES_0603_1608","2933.071","1377.953","90","RES 0 OHM JUMPER 1/8W 0603"
"R93","10 kOhms","TopLayer","RES_0603_1608","3809.055","944.882","90","RES 10K OHM 1% 1/5W 0603"
"R92","11 kOhms","TopLayer","RES_0603_1608","3868.110","964.567","90","RES SMD 11K OHM 1% 1/16W 0603"
"R91","10 kOhms","TopLayer","RES_0603_1608","3553.150","964.567","0","RES 10K OHM 1% 1/5W 0603"
"R90","10 kOhms","TopLayer","RES_0603_1608","3809.055","340.551","90","RES 10K OHM 1% 1/5W 0603"
"R89","11 kOhms","TopLayer","RES_0603_1608","3868.110","360.236","90","RES SMD 11K OHM 1% 1/16W 0603"
"R88","10 kOhms","TopLayer","RES_0603_1608","3553.150","364.173","0","RES 10K OHM 1% 1/5W 0603"
"R87","2 kOhms","TopLayer","RES_0603_1608","3405.512","1283.465","0","RES SMD 2K OHM 1% 1/10W 0603"
"R86","2 kOhms","TopLayer","RES_0603_1608","3417.323","590.551","0","RES SMD 2K OHM 1% 1/10W 0603"
"R85","2 kOhms","TopLayer","RES_0603_1608","3405.512","1220.472","0","RES SMD 2K OHM 1% 1/10W 0603"
"R84","2 kOhms","TopLayer","RES_0603_1608","3415.354","531.496","0","RES SMD 2K OHM 1% 1/10W 0603"
"R83","2 kOhms","TopLayer","RES_0603_1608","3051.181","1289.370","0","RES SMD 2K OHM 1% 1/10W 0603"
"R82","2 kOhms","TopLayer","RES_0603_1608","3061.024","600.394","0","RES SMD 2K OHM 1% 1/10W 0603"
"R81","10 kOhms","TopLayer","RES_0603_1608","3809.055","1771.653","90","RES 10K OHM 1% 1/5W 0603"
"R80","11 kOhms","TopLayer","RES_0603_1608","3868.110","1791.339","90","RES SMD 11K OHM 1% 1/16W 0603"
"R79","10 kOhms","TopLayer","RES_0603_1608","3553.150","1791.339","0","RES 10K OHM 1% 1/5W 0603"
"R78","=Value","TopLayer","RES_0603_1608","3287.402","2755.905","180","RES 0 OHM JUMPER 1/8W 0603"
"R77","=Value","TopLayer","RES_0603_1608","3179.134","2755.905","0","RES 0 OHM JUMPER 1/8W 0603"
"R76","10 kOhms","TopLayer","RES_0603_1608","3809.055","2253.937","90","RES 10K OHM 1% 1/5W 0603"
"R75","2 kOhms","TopLayer","RES_0603_1608","3405.512","1938.976","0","RES SMD 2K OHM 1% 1/10W 0603"
"R74","2 kOhms","TopLayer","RES_0603_1608","3415.354","2568.898","0","RES SMD 2K OHM 1% 1/10W 0603"
"R73","11 kOhms","TopLayer","RES_0603_1608","3868.110","2273.622","90","RES SMD 11K OHM 1% 1/16W 0603"
"R72","2 kOhms","TopLayer","RES_0603_1608","3405.512","1870.079","0","RES SMD 2K OHM 1% 1/10W 0603"
"R71","2 kOhms","TopLayer","RES_0603_1608","3415.354","2507.874","0","RES SMD 2K OHM 1% 1/10W 0603"
"R70","10 kOhms","TopLayer","RES_0603_1608","3553.150","2293.307","0","RES 10K OHM 1% 1/5W 0603"
"R69","2 kOhms","TopLayer","RES_0603_1608","3041.339","1938.976","0","RES SMD 2K OHM 1% 1/10W 0603"
"R68","2 kOhms","TopLayer","RES_0603_1608","3031.496","2578.740","0","RES SMD 2K OHM 1% 1/10W 0603"
"R67","=Value","TopLayer","RES_0603_1608","1706.693","1437.008","180","RES 0 OHM JUMPER 1/8W 0603"
"R66","=Value","TopLayer","RES_0603_1608","3868.110","826.772","0","RES 0 OHM JUMPER 1/8W 0603"
"R65","=Value","TopLayer","RES_0603_1608","3887.795","1525.591","270","RES 0 OHM JUMPER 1/8W 0603"
"R64","100 k","TopLayer","RES_0603_1608","501.969","2066.929","270","RES 100K OHM 1% 1/3W 0603"
"R63","100 k","TopLayer","RES_0603_1608","562.992","2066.929","270","RES 100K OHM 1% 1/3W 0603"
"R62","2 kOhms","TopLayer","RES_0603_1608","2175.197","728.346","180","RES SMD 2K OHM 1% 1/10W 0603"
"R61","2 kOhms","TopLayer","RES_0603_1608","2263.780","807.087","270","RES SMD 2K OHM 1% 1/10W 0603"
"R59","2 kOhms","TopLayer","RES_0603_1608","1889.764","801.181","270","RES SMD 2K OHM 1% 1/10W 0603"
"R58","12 Ohms","TopLayer","RES_0603_1608","2175.197","787.402","180","RES SMD 12 OHM 0.1% 1/10W 0603"
"R57","12 Ohms","TopLayer","RES_0603_1608","1803.150","765.748","180","RES SMD 12 OHM 0.1% 1/10W 0603"
"R56","100 k","TopLayer","RES_0603_1608","836.614","1919.291","270","RES 100K OHM 1% 1/3W 0603"
"R55","2 kOhms","TopLayer","RES_0603_1608","2175.197","846.457","180","RES SMD 2K OHM 1% 1/10W 0603"
"R54","2 kOhms","TopLayer","RES_0603_1608","1801.181","826.772","180","RES SMD 2K OHM 1% 1/10W 0603"
"R53","150 mOhms","TopLayer","STACKPOLE_CSR0805","2234.252","413.386","270","RES 0.15 OHM 0.5% 1/4W 0805"
"R52","150 mOhms","TopLayer","STACKPOLE_CSR0805","1870.079","403.543","270","RES 0.15 OHM 0.5% 1/4W 0805"
"R51","=Value","TopLayer","RES_0603_1608","3848.425","2116.142","0","RES 0 OHM JUMPER 1/8W 0603"
"R50","=Value","TopLayer","RES_0603_1608","3818.898","2834.646","0","RES 0 OHM JUMPER 1/8W 0603"
"R49","2 kOhms","TopLayer","RES_0603_1608","1938.976","1781.496","0","RES SMD 2K OHM 1% 1/10W 0603"
"R48","2 kOhms","TopLayer","RES_0603_1608","1742.126","1801.181","90","RES SMD 2K OHM 1% 1/10W 0603"
"R47","2 kOhms","TopLayer","RES_0603_1608","2259.177","1785.756","0","RES SMD 2K OHM 1% 1/10W 0603"
"R46","2 kOhms","TopLayer","RES_0603_1608","2062.327","1799.535","90","RES SMD 2K OHM 1% 1/10W 0603"
"R45","12 Ohms","TopLayer","RES_0603_1608","1938.976","1840.551","0","RES SMD 12 OHM 0.1% 1/10W 0603"
"R44","12 Ohms","TopLayer","RES_0603_1608","2259.177","1844.811","0","RES SMD 12 OHM 0.1% 1/10W 0603"
"R43","2 kOhms","TopLayer","RES_0603_1608","1938.976","1899.606","0","RES SMD 2K OHM 1% 1/10W 0603"
"R42","2 kOhms","TopLayer","RES_0603_1608","2259.177","1903.866","0","RES SMD 2K OHM 1% 1/10W 0603"
"R41","2 kOhms","TopLayer","RES_0603_1608","1702.756","1141.732","0","RES 2K OHM 1% 1/10W 0603"
"R40","150 mOhms","TopLayer","STACKPOLE_CSR0805","1919.291","2224.409","90","RES 0.15 OHM 0.5% 1/4W 0805"
