Line #,Name,Description,Designator,Revision ID,Revision State,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","HUSB238","","U22","","Not managed","","1","","","","","","",""
"","ADGS2414DBCCZ","0.56Omh On Resistance High Density Octal SPST Switch","U10, U11, U16, U17, U23","","Not managed","","5","","","","","","",""
"","TPS74601PDRVT","1-A, low-IQ, high-accuracy, adjustable ultra-low-dropout voltage regulator with power good & enable","U5","","Not managed","","1","","","","","","",""
"","TPS16410DRCR","2.7-V to 40-V, 152-mOmh, 1.8-A eFuse with output power limiting 10-VSON -40 to 125","U12, U14, U18, U19","","Not managed","","4","","","","","","",""
"","XL-2020RGBC-WS2812B","2020 RGB LED(BUILT-IN IC)","D1, D2, D3","","Not managed","","3","","","","","","",""
"","0.022 µF","CAP CER 0.022UF 25V X7R 0603","C44","","Not managed","","1","","","","DigiKey","399-C0603C223J3RAC7867CT-ND","",""
"","0.1 µF","CAP CER 0.1UF 50V X7R 0603","C6, C7, C11, C15, C16, C33, C35, C60, C61, C63, C65, C66, C67, C70, C73, C76","","Not managed","","16","TDK","CGA3E2X7R1H104M080AE","Volume Production","DigiKey","445-15958-1-ND","0.129","2.06"
"","0.1 µF","CAP CER 0.1UF 50V X7R 0603","C37, C39, C41, C57, C78","","Not managed","","5","KYOCERA AVX","KAM15AR71H104JT","Volume Production","DigiKey","478-KAM15AR71H104JTCT-ND","0.53","2.65"
"","1 µF","CAP CER 1UF 50V X5R 0603","C1, C2, C4, C5, C8, C13, C21, C23, C25, C30, C59, C64, C69, C72, C75, C77, C79, C80","","Not managed","","18","TDK","C1608X5R1H105K080AB","Volume Production","DigiKey","445-7468-1-ND","0.086","1.55"
"","2.2 µF","CAP CER 2.2UF 25V X7R 0603","C43","","Not managed","","1","Murata","GRM188Z71E225KE43D","Volume Production","DigiKey","490-GRM188Z71E225KE43DCT-ND","0.16","0.16"
"","4.7 µF","CAP CER 4.7UF 25V X5R 0603","C14, C28, C29","","Not managed","","3","Murata","GRM188R61E475ME11J","Volume Production","DigiKey","490-GRM188R61E475ME11JCT-ND","0.22","0.66"
"","8 pF","CAP CER 8PF 50V C0G 0603","C9, C10","","Not managed","","2","TDK","CGA3E2C0G1H080D080AA","Volume Production","DigiKey","445-5626-1-ND","0.14","0.28"
"","10 µF","CAP CER 10UF 25V X6S 0603","C36, C38, C40, C42, C58","","Not managed","","5","KYOCERA AVX","06033W106MAT2A","Volume Production","DigiKey","478-KGM15CS61E106MTCT-ND","0.35","1.75"
"","22 µF","CAP CER 22UF 6.3V X6S 0603","C3, C12, C17","","Not managed","","3","Yageo Group","CC0603MRX6S5BB226","Volume Production","DigiKey","13-CC0603MRX6S5BB226CT-ND","0.22","0.66"
"","22µF","CAP CER 22UF 25V X7R 1210","C18, C26, C32","","Not managed","","3","","","","DigiKey","478-9964-1-ND","",""
"","47 µF","CAP CER 47UF 25V X5R 1210","C34","","Not managed","","1","KYOCERA AVX","KGM32LR51E476MU","Volume Production","DigiKey","478-KGM32LR51E476MUCT-ND","2.81","2.81"
"","220pF","CAP CER 220PF 50V C0G/NP0 0603","C45, C46, C51, C52","","Not managed","","4","KYOCERA AVX","LD035A221FAB2A","Volume Production","DigiKey","478-12916-1-ND","0.69","2.76"
"","1000 pF","CAP CER 1000PF 25V C0G/NPO 0603","C22, C24, C31","","Not managed","","3","Yageo Group","CC0603GRNPO8BN102","Volume Production","DigiKey","311-3914-1-ND","0.15","0.45"
"","1200 pF","CAP CER 1200PF 50V X7R 0603","C62, C68, C71, C74","","Not managed","","4","","","","DigiKey","399-C0603S122K5RAC7867CT-ND","",""
"","4700 pF","CAP CER 4700PF 50V X7R 0603","C47, C48, C49, C50, C53, C54, C55, C56","","Not managed","","8","Yageo Group","C0603X472K5RAC3316","Volume Production","DigiKey","399-C0603X472K5RAC3316CT-ND","0.209","2.09"
"","10000 pF","CAP CER 10000PF 50V X7R 0603","C19, C20, C27","","Not managed","","3","","","","DigiKey","399-C0603X103K5RAC7867CT-ND","",""
"","M20-7830442","CONN RCPT 8POS 0.1 GOLD PCB","J3, J4, J5","","Not managed","","3","Harwin","M20-7830442","Volume Production","DigiKey","952-1789-ND","1.53","4.59"
"","USB4125-GF-A-0190","CONN RCPT TYPE C 6P SMD RA","J1","CMP-245163-000004-1","New From Design","Up to date","1","Global Connector Technology","USB4125-GF-A-0190","Volume Production","DigiKey","2073-USB4125-GF-A-0190CT-ND","0.6","0.6"
"","USB4085-GF-A","CONN RCPT USB2.0 TYPE C 24POS RA","J2","CMP-196119-000001-2","New From Design","Up to date","1","Global Connector Technology","USB4085-GF-A","Volume Production","DigiKey","2073-USB4085-GF-ACT-ND","0.89","0.89"
"","ABM11W-24.0000MHZ-8-B1U-T3","Crystal 24MHz ±10ppm 8pF SMD-4 2mm x 1.6mm","Y1","CMP-27762-001449-1","New From Design","Up to date","1","Abracon","ABM11W-24.0000MHZ-8-B1U-T3","Volume Production","Mouser","815-11W24-8B1UT","0.38","0.38"
"","LTM8063EY#PBF","DC DC CONVERTER 0.8-15V","U4, U6","CMP-09139-000005-1","New From Design","Up to date","2","Analog Devices","LTM8063EY#PBF","Volume Production","Arrow Electronics","LTM8063EY#PBF","19.76","39.52"
"","LTM8049IY","DC DC CONVERTER +/-2.5 TO +/-24V","U7","CMP-09139-000109-1","New From Design","Up to date","1","Analog Devices","LTM8049IY","Volume Production","Mouser","584-LTM8049IY","47.97","47.97"
"","NRVBA340T3G","DIODE SCHOTTKY 40V 3A SMA","D5","CMP-1055-00307-2","Released","Up to date","1","onsemi","NRVBA340T3G","Volume Production","","","",""
"","LTM8078EY#PBF","DUAL 40VIN, 3A SILENT SWITCR UMO","U3","CMP-09139-000054-1","New From Design","Up to date","1","Analog Devices","LTM8078EY#PBF","Volume Production","Farnell","4033745","12.91","12.91"
"","USB2422T/MJ","IC HUB CTLR USB 2.0 24QFN","U2","CMP-06284-000052-1","New From Design","Up to date","1","Microchip","USB2422T/MJ","Volume Production","DigiKey","USB2422T/MJCT-ND","1.58","1.58"
"","PCA9535AHF,128","IC I/O EXPANDER I2C 24HWQFN","U20","CMP-10112-000026-1","New From Design","Up to date","1","NXP Semiconductors","PCA9535AHF,128","Volume Production","Avnet","61AC1250","2.01","2.01"
"","TXS0108EPWR","IC TRNSLTR BIDIRECTIONAL 20TSSOP","U13, U15","CMP-2000-04956-2","Released","Up to date","2","Texas Instruments","TXS0108EPWR","Volume Production","DigiKey","296-23011-1-ND","1.52","3.04"
"","HSMF-C165","LED GREEN/RED DIFFUSED 0603 SMD","D8, D9, D12","CMP-2000-06424-2","New From Design","Up to date","3","Broadcom","HSMF-C165","Volume Production","Mouser","630-HSMF-C165","0.61","1.83"
"","AONR21307","MOSFET P-CH 30V 3X3 DFN","Q1","CMP-83955-000002-1","New From Design","Up to date","1","Alpha & Omega Semiconductor","AONR21307","Volume Production","DigiKey","785-1796-1-ND","1.09","1.09"
"","SI7113ADN-T1-GE3","MOSFET P-CH 100V 10.8A 1212-8","Q2, Q3, Q4, Q5","CMP-02550-000064-1","New From Design","Up to date","4","Vishay","SI7113ADN-T1-GE3","Volume Production","Newark","SI7113ADN-T1-GE3","0.161","0.644"
"","NSR0240V2T5G","NSR0240V2T5G Diode Schottky 40V 0.25A 2-Pin SOD-523 T/R","D6, D7, D10, D11","CMP-00278-24638172-1","New From Design","Up to date","4","onsemi","NSR0240V2T5G","Volume Production","DigiKey","NSR0240V2T5GOSCT-ND","0.26","1.04"
"","AD74416HBCPZ","Quad-Channel, Software Configurable Input and Output with HART Modem","U9","","Not managed","","1","","","","","","",""
"","NC","RES 0 OHM JUMPER 1/4W 0603","R12","","Not managed","","1","Stackpole Electronics","HCJ0603ZT0R00","Volume Production","DigiKey","HCJ0603ZT0R00CT-ND","0.34","0.34"
"","=Value","RES 0 OHM JUMPER 1/8W 0603","R24, R28, R50, R51, R65, R66, R67, R77, R78, R94, R95, R104","","Not managed","","12","Vishay","MCT0603MZ0000ZP500","Volume Production","DigiKey","749-1745-1-ND","0.041","0.492"
"","150 mOhms","RES 0.15 OHM 0.5% 1/4W 0805","R39, R40, R52, R53","","Not managed","","4","Ohmite","KDV08DR150ET","Volume Production","DigiKey","273-KDV08DR150ETCT-ND","0.28","1.12"
"","2 kOhms","RES 2K OHM 1% 1/10W 0603","R41","","Not managed","","1","Yageo Group","AC0603FR-132KL","Volume Production","DigiKey","13-AC0603FR-132KLCT-ND","0.1","0.1"
"","5.1 kOhms","RES 5.1K OHM 1% 1/10W 0603","R1, R2, R10, R13, R14","","Not managed","","5","Stackpole Electronics","RMCF0603FT5K10","Volume Production","DigiKey","RMCF0603FT5K10CT-ND","0.006","0.06"
"","10 kOhms","RES 10K OHM 1% 1/5W 0603","R3, R5, R6, R7, R70, R76, R79, R81, R88, R90, R91, R93","","Not managed","","12","KOA Speer","SG73S1JTTD1002F","Volume Production","DigiKey","2019-SG73S1JTTD1002FCT-ND","0.056","0.672"
"","22.6 kOhms","RES 22.6K OHM 1% 1/10W 0603","R11","","Not managed","","1","Yageo Group","RC0603FR-0722K6L","Volume Production","DigiKey","311-22.6KHRCT-ND","0.1","0.1"
"","41.7 kOhms","RES 41.7K OHM 1% 1/10W 0603","R25, R29","","Not managed","","2","KOA Speer","RN73R1JTTD4172F10","Volume Production","DigiKey","2019-RN73R1JTTD4172F10CT-ND","0.2","0.4"
"","45.3 kOhms","RES 45.3K OHM 1% 1/10W 0603","R21","","Not managed","","1","Stackpole Electronics","RMCF0603FT45K3","Volume Production","DigiKey","RMCF0603FT45K3CT-ND","0.1","0.1"
"","49.9 kOhms","RES 49.9K OHM 1% 1/10W 0603","R9","","Not managed","","1","Stackpole Electronics","RMCF0603FT49K9","Volume Production","DigiKey","RMCF0603FT49K9CT-ND","0.1","0.1"
"","73.2 kOhms","RES 73.2K OHM 1% 1/10W 0603","R33, R38","","Not managed","","2","Yageo Group","RC0603FR-0773K2L","Volume Production","DigiKey","311-73.2KHRCT-ND","0.007","0.07"
"","100 kOhms","RES 100K OHM 1% 1/3W 0603","R15, R16, R19, R26, R31, R96, R103, R109, R110","","Not managed","","9","KOA Speer","SG73P1JTTD1003F","Volume Production","DigiKey","2019-SG73P1JTTD1003FCT-ND","0.055","0.55"
"","100 k","RES 100K OHM 1% 1/3W 0603","R56, R63, R64","","Not managed","","3","KOA Speer","SG73P1JTTD1003F","Volume Production","DigiKey","2019-SG73P1JTTD1003FCT-ND","0.12","0.36"
"","165 kOhms","RES 165K OHM 1% 1/10W 0603","R30","","Not managed","","1","Yageo Group","RC0603FR-07165KL","Volume Production","DigiKey","311-165KHRCT-ND","0.1","0.1"
